Participant,block,trial,stim,stim group,RT,Acuracy,stim position,mask side,response
13,1,29,folder/matchedM001SR.png,6,4.940494631,1,2,1,2
13,1,30,folder/matchedM072.png,1,1.778125284,1,4,2,4
13,1,31,folder/matchedM024IN.png,4,2.350497904,1,3,1,3
13,1,32,folder/matchedM001.png,2,4.400920879,1,3,1,3
13,1,33,folder/matchedM049IN.png,4,3.859598185,1,3,1,3
13,1,34,folder/matchedM067IN.png,4,3.158396752,1,2,1,2
13,1,35,folder/matchedM006SL.png,6,7.581983854,1,4,1,4
13,1,36,folder/matchedM019IN.png,3,1.740095161,1,2,2,2
13,1,37,folder/matchedM072SL.png,5,1.243926287,1,1,2,1
13,1,38,folder/matchedM072IN.png,4,3.170112364,1,2,1,2
13,1,39,folder/matchedM024IN.png,3,1.789822877,1,2,2,2
13,1,40,folder/matchedM067SR.png,5,2.189669356,1,3,2,3
13,1,41,folder/matchedM003.png,1,1.559658916,1,3,2,3
13,1,42,folder/matchedM024SR.png,6,3.066888049,1,3,1,3
13,1,43,folder/matchedM017IN.png,3,1.75940131,1,3,2,3
13,1,44,folder/matchedM016.png,2,2.369660452,1,4,1,4
13,1,45,folder/matchedM002.png,2,2.940116248,1,1,1,1
13,1,46,folder/matchedM020SR.png,6,2.944989148,1,2,1,2
13,1,47,folder/matchedM001IN.png,4,2.34965485,1,3,1,3
13,1,48,folder/matchedM002IN.png,3,1.838712447,1,3,2,3
13,1,49,folder/matchedM002SL.png,5,1.53935003,1,2,2,2
13,1,50,folder/matchedM019SL.png,5,2.588441488,1,3,2,3
13,1,51,folder/matchedM001.png,1,1.12483592,0,1,2,2
13,1,52,folder/matchedM005IN.png,4,2.649656043,1,3,1,3
13,1,53,folder/matchedM049SL.png,6,5.190665592,1,4,1,4
13,1,54,folder/matchedM006.png,1,1.457585093,1,4,2,4
13,1,55,folder/matchedM005IN.png,3,2.054604163,1,3,2,3
13,1,56,folder/matchedM008SR.png,5,2.318396635,1,3,2,3
13,1,57,folder/matchedM006IN.png,4,1.731287324,1,2,1,2
13,1,58,folder/matchedM001IN.png,3,2.31787322,1,2,2,2
13,1,59,folder/matchedM016SL.png,5,1.589092961,1,4,2,4
13,1,60,folder/matchedM004SL.png,5,1.886146875,1,1,2,1
13,1,61,folder/matchedM020.png,2,2.904675608,1,1,1,1
13,1,62,folder/matchedM020.png,1,1.459101084,1,3,2,3
13,1,63,folder/matchedM024.png,1,1.127378276,1,1,2,1
13,1,64,folder/matchedM008IN.png,4,3.639852273,1,1,1,1
13,1,65,folder/matchedM067SR.png,6,2.869765812,1,3,1,3
13,1,66,folder/matchedM017.png,1,1.819311569,1,1,2,1
13,1,67,folder/matchedM005.png,1,1.63985785,1,3,2,3
13,1,68,folder/matchedM020IN.png,4,2.569796946,1,2,1,2
13,1,69,folder/matchedM008SR.png,6,3.600514413,1,1,1,1
13,1,70,folder/matchedM072.png,2,3.128819787,1,4,1,4
13,1,71,folder/matchedM072IN.png,3,3.460345836,1,2,2,2
13,1,72,folder/matchedM049.png,1,1.651146054,1,3,2,3
13,1,73,folder/matchedM008.png,2,1.834920302,1,3,1,3
13,1,74,folder/matchedM021IN.png,3,2.468760086,1,2,2,2
13,1,75,folder/matchedM016IN.png,4,1.898787018,1,4,1,4
13,1,76,folder/matchedM005.png,2,1.626876709,1,2,1,2
13,1,77,folder/matchedM003.png,2,3.165494554,1,4,1,4
13,1,78,folder/matchedM049SL.png,5,1.798939067,1,4,2,4
13,1,79,folder/matchedM004SL.png,6,3.269565888,1,2,1,2
13,1,80,folder/matchedM006.png,2,1.497755668,1,2,1,2
13,1,81,folder/matchedM021.png,1,2.138891082,1,2,2,2
13,1,82,folder/matchedM019IN.png,4,2.158801549,1,4,1,4
13,1,83,folder/matchedM020SR.png,5,2.779155655,1,3,2,3
13,1,84,folder/matchedM016SL.png,6,8.446800351,1,4,1,4
13,1,85,folder/matchedM017.png,2,2.15803551,1,3,1,3
13,1,86,folder/matchedM006SL.png,5,2.108478323,1,2,2,2
13,1,87,folder/matchedM002.png,1,2.648368007,1,2,2,2
13,1,88,folder/matchedM003IN.png,3,4.419929701,1,2,2,2
13,1,89,folder/matchedM002SL.png,6,1.478421124,1,2,1,2
13,1,90,folder/matchedM067IN.png,3,2.844975009,1,1,2,1
13,1,91,folder/matchedM017SR.png,6,1.759188468,1,2,1,2
13,1,92,folder/matchedM004IN.png,4,1.368594803,1,3,1,3
13,1,93,folder/matchedM004.png,1,1.56705351,1,4,2,4
13,1,94,folder/matchedM003IN.png,4,1.249361579,1,3,1,3
13,1,95,folder/matchedM006IN.png,3,2.209727273,1,1,2,1
13,1,96,folder/matchedM067.png,1,1.667914224,1,4,2,4
14,1,1,folder/matchedM008.png,2,2.695240783,1,4,1,4
14,1,2,folder/matchedM008IN.png,4,1.677158093,1,2,1,2
14,1,3,folder/matchedM003SR.png,6,1.720807903,1,4,1,4
14,1,4,folder/matchedM008SR.png,5,1.660929655,1,4,2,4
14,1,5,folder/matchedM004IN.png,3,0.997715003,1,3,2,3
14,1,6,folder/matchedM072.png,1,1.310528342,1,1,2,1
14,1,7,folder/matchedM019SL.png,6,2.190667897,1,1,1,1
14,1,8,folder/matchedM016IN.png,4,0.909791506,1,2,1,2
14,1,9,folder/matchedM006SL.png,5,1.31209049,1,4,2,4
14,1,10,folder/matchedM006.png,1,0.989926054,1,2,2,2
14,1,11,folder/matchedM067.png,2,1.710137843,1,4,1,4
14,1,12,folder/matchedM024IN.png,3,1.366991192,1,2,2,2
14,1,13,folder/matchedM049SL.png,5,0.707211818,1,3,2,3
14,1,14,folder/matchedM017IN.png,4,1.453466661,1,2,1,2
14,1,15,folder/matchedM002.png,2,0.958182408,1,4,1,4
14,1,16,folder/matchedM001SR.png,5,1.488936665,1,1,2,1
14,1,17,folder/matchedM004.png,1,0.788634684,1,4,2,4
14,1,18,folder/matchedM067IN.png,4,1.139470345,1,3,1,3
